Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 15:30:00+00:00,95.13999938964844,95.41999816894531,95.0999984741211,95.11000061035156,577682,629.1500244140625,630.0,628.1300048828125,628.8400268554688,2665201,303.1099853515625,303.3475036621094,302.8800048828125,303.0480041503906,1949681,209.36000061035156,209.66000366210938,209.36000061035156,209.38999938964844,5053915,253.00999450683594,253.47999572753906,252.98500061035156,253.2050018310547,4164406
2026-03-16 15:45:00+00:00,95.1050033569336,95.20999908447266,94.94999694824219,95.04499816894531,420870,628.8099975585938,629.0999145507812,626.97998046875,627.010009765625,199403,303.0199890136719,303.1000061035156,302.29998779296875,302.4700012207031,189832,209.3800048828125,209.47999572753906,208.89999389648438,209.0,427947,253.19000244140625,253.5399932861328,252.9250030517578,252.9550018310547,248885
2026-03-16 16:00:00+00:00,95.04499816894531,95.18990325927734,94.91000366210938,95.1698989868164,317069,626.97998046875,627.5,624.5,624.7940063476562,287783,302.4599914550781,303.1400146484375,302.4200134277344,302.6918029785156,203856,209.0,209.50999450683594,208.8800048828125,209.3625030517578,464776,252.95249938964844,253.2899932861328,252.8000030517578,253.05499267578125,566906
2026-03-16 16:15:00+00:00,95.16500091552734,95.19999694824219,94.87999725341797,94.9458999633789,480548,624.780029296875,625.0,623.1004028320312,623.719970703125,291856,302.69000244140625,302.82000732421875,301.80999755859375,302.0,2217450,209.36000061035156,209.57000732421875,208.62989807128906,208.8415985107422,484942,253.0449981689453,253.1999969482422,252.20010375976562,252.36500549316406,448056
2026-03-16 16:30:00+00:00,94.94499969482422,95.05999755859375,94.7699966430664,94.95500183105469,1357573,623.7849731445312,625.489990234375,623.3049926757812,625.3200073242188,3228155,302.0199890136719,302.8900146484375,301.8900146484375,302.8900146484375,204204,208.86000061035156,209.58999633789062,208.63999938964844,209.4499969482422,582883,252.35000610351562,252.8699951171875,252.1999969482422,252.71800231933594,388980
2026-03-16 16:45:00+00:00,94.95500183105469,95.2300033569336,94.875,95.09500122070312,1272045,625.375,626.52001953125,624.5,625.989990234375,96936,302.9057922363281,303.2569885253906,302.67999267578125,303.0802917480469,217796,209.44500732421875,209.84500122070312,209.34500122070312,209.5449981689453,671792,252.6999969482422,252.85000610351562,252.47999572753906,252.57000732421875,338640
2026-03-16 17:00:00+00:00,95.09500122070312,95.18499755859375,94.9800033569336,95.11000061035156,394369,625.6799926757812,627.030029296875,624.5501098632812,625.010009765625,189114,303.1199951171875,303.67999267578125,303.1099853515625,303.30999755859375,186420,209.5500030517578,210.02000427246094,209.53500366210938,209.77000427246094,526418,252.5800018310547,253.3300018310547,252.52999877929688,253.1750030517578,413165
2026-03-16 17:15:00+00:00,95.11499786376953,95.16500091552734,94.91500091552734,94.98600006103516,416222,625.1699829101562,626.6400146484375,624.8784790039062,625.5,6644084,303.3500061035156,303.6300048828125,303.2712097167969,303.32000732421875,159898,209.75999450683594,210.1300048828125,209.6199951171875,209.88999938964844,597455,253.19000244140625,253.1999969482422,252.82000732421875,252.92999267578125,5354148
2026-03-16 17:30:00+00:00,94.9800033569336,95.22000122070312,94.94499969482422,94.95600128173828,347925,625.52001953125,625.6389770507812,623.5,624.0999755859375,131852,303.3450012207031,303.489990234375,303.1700134277344,303.2799987792969,149950,209.89999389648438,209.98500061035156,209.69009399414062,209.7100067138672,7164478,252.94000244140625,253.05999755859375,252.36000061035156,252.39010620117188,292055
2026-03-16 17:45:00+00:00,94.95500183105469,95.16000366210938,94.86000061035156,95.13500213623047,292314,624.0999755859375,624.97998046875,623.4000244140625,623.5999755859375,168143,303.25,303.5400085449219,303.1401062011719,303.3399963378906,141933,209.72000122070312,210.1999969482422,209.6699981689453,209.94000244140625,462456,252.39999389648438,252.72000122070312,252.16000366210938,252.1699981689453,309752
